Channel,CoverageArea,Decision,Frequency,FrequencyUnit,Holder,Location,Programms,ValidTo
,,892139,87.7,MHz,RTV SLOVENIJA,JEZERSKO 1,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2020-06-23
,,892141,105.3,MHz,RTV SLOVENIJA,POHORJE,"[{u'Program': u'RADIO SLOVENIJA, tretji program - PROGRAM ARS /ARS/', u'Timesharing': None}]",2020-06-22
,,892142,92.7,MHz,RTV SLOVENIJA,BIZELJSKO,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2020-06-22
,,892159,105.5,MHz,RTV SLOVENIJA,CEROVEC,"[{u'Program': u'RADIO SLOVENIA INTERNATIONAL /Radio Si/', u'Timesharing': None}]",2018-02-05
,,892189,90.8,MHz,RTV SLOVENIJA,IZOLA 5,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2020-05-19
,,892272,104.5,MHz,RADIO OGNJIŠČE d.o.o. Koper,KALVARIJA,"[{u'Program': u'RADIO OGNJI\u0160\u010cE', u'Timesharing': None}]",2020-07-18
,,892273,96.8,MHz,RADIO OGNJIŠČE d.o.o. Koper,LOŽ,"[{u'Program': u'RADIO OGNJI\u0160\u010cE', u'Timesharing': None}]",2020-07-15
,,892274,103.7,MHz,RADIO CERKNO d.o.o.,JAVORNIK,"[{u'Program': u'RADIO ODMEV', u'Timesharing': u'od 16:00 do 20:00'}, {u'Program': u'Primorski val', u'Timesharing': u'od 00:00 do 16:00 in od 20:00 do 24:00'}]",2020-07-18
,,892348,97.8,MHz,RADIO 94 d.o.o. Postojna,LOŽ,"[{u'Program': u'R94', u'Timesharing': u'od 00:00 do 06:00'}, {u'Program': u'Radio 94', u'Timesharing': u'od 06:00 do 24:00'}]",2020-07-15
,,892446,107.7,MHz,RTV SLOVENIJA,ČRNOMELJ,"[{u'Program': u'RADIO SLOVENIA INTERNATIONAL /Radio Si/', u'Timesharing': None}]",2020-07-06
,,892459,98.8,MHz,RTV SLOVENIJA,GOLO BRDO,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2020-07-06
,,892464,104.1,MHz,RTV SLOVENIJA,GOLO BRDO,"[{u'Program': u'RADIO KOPER /RADIO KP/', u'Timesharing': None}]",2020-07-06
,,892472,100.8,MHz,RTV SLOVENIJA,LJUBLJANA 3,"[{u'Program': u'RADIO SLOVENIA INTERNATIONAL /Radio Si/', u'Timesharing': None}]",2015-02-18
,,892477,87.6,MHz,RTV SLOVENIJA,MOZIRJE,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2020-08-16
,,892478,94.7,MHz,RTV SLOVENIJA,MOZIRJE,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2020-08-16
,,892479,96.2,MHz,RTV SLOVENIJA,MOZIRJE,"[{u'Program': u'RADIO SLOVENIJA, tretji program - PROGRAM ARS /ARS/', u'Timesharing': None}]",2020-08-16
,,892514,100.8,MHz,RADIO CITY d.o.o.,TOPOLŠICA,"[{u'Program': u'RADIO CITY', u'Timesharing': None}]",2020-07-29
,,892590,87.8,MHz,"RGL, d.o.o, Ljubljana",BLEJSKA DOBRAVA,"[{u'Program': u'RADIO SALOMON', u'Timesharing': None}]",2020-10-03
,,892662,93.1,MHz,"ALPE ADRIA ""ZELENI VAL"" d.o.o.",POLŽEVO,"[{u'Program': u'RADIO ZELENI VAL', u'Timesharing': None}]",2018-10-13
,,892662,105.3,MHz,"ALPE ADRIA ""ZELENI VAL"" d.o.o.",TREBNJE 2,"[{u'Program': u'RADIO ZELENI VAL', u'Timesharing': None}]",2018-10-13
,,892718,96.2,MHz,RTV SLOVENIJA,BIZELJSKO,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2020-10-10
,,892719,101.5,MHz,RTV SLOVENIJA,BIZELJSKO,"[{u'Program': u'RADIO SLOVENIJA, tretji program - PROGRAM ARS /ARS/', u'Timesharing': None}]",2020-10-10
,,892727,89.8,MHz,"RADIO TRIGLAV JESENICE, D.O.O.",JESENICE,"[{u'Program': u'RADIO TRIGLAV', u'Timesharing': None}]",2020-11-21
,,892728,101.5,MHz,"RADIO TRIGLAV JESENICE, D.O.O.",KRANJSKA GORA,"[{u'Program': u'RADIO TRIGLAV', u'Timesharing': None}]",2020-11-21
,,892732,89.8,MHz,RADIO TEDNIK Ptuj d.o.o.,MAJŠPERK,"[{u'Program': u'RADIO PTUJ', u'Timesharing': None}]",2020-12-09
,,892739,92.3,MHz,RTV SLOVENIJA,AJDOVŠČINA,"[{u'Program': u'RADIO KOPER /RADIO KP/', u'Timesharing': None}]",2020-11-14
,,892740,92,MHz,RTV SLOVENIJA,BELI KRIŽ,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2020-12-11
,,892741,94.1,MHz,RTV SLOVENIJA,BELI KRIŽ,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2020-12-12
,,892742,104.3,MHz,RTV SLOVENIJA,BELI KRIŽ,"[{u'Program': u'RADIO KOPER /RADIO KP/', u'Timesharing': None}]",2020-12-11
,,892743,87.8,MHz,RTV SLOVENIJA,CERKNO 2,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2020-11-30
,,892744,102.5,MHz,RTV SLOVENIJA,CERKNO 2,"[{u'Program': u'RADIO SLOVENIJA, tretji program - PROGRAM ARS /ARS/', u'Timesharing': None}]",2020-11-30
,,892745,98.9,MHz,RTV SLOVENIJA,FARA,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2020-11-30
,,892746,90,MHz,RTV SLOVENIJA,GRAHOVO,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2020-12-13
,,892747,92.4,MHz,RTV SLOVENIJA,IDRIJA 1,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2020-11-30
,,892748,88.9,MHz,RTV SLOVENIJA,IDRIJA 2,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2020-11-30
,,892749,89.8,MHz,RTV SLOVENIJA,KANIN,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2020-12-11
,,892750,91.6,MHz,RTV SLOVENIJA,KANIN,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2020-12-11
,,892751,93.8,MHz,RTV SLOVENIJA,KANIN,"[{u'Program': u'RADIO SLOVENIJA, tretji program - PROGRAM ARS /ARS/', u'Timesharing': None}]",2020-12-11
,,892752,92.6,MHz,RTV SLOVENIJA,KOČEVJE,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2020-12-11
,,892753,89.6,MHz,RTV SLOVENIJA,KOZJE,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2020-12-11
,,892754,96.7,MHz,RTV SLOVENIJA,KRANJSKA GORA,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2020-12-05
,,892755,90,MHz,RTV SLOVENIJA,TRŽIČ 1,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2020-12-05
,,892756,92.4,MHz,RTV SLOVENIJA,TRŽIČ 1,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2020-12-05
27,Vzhod,892764,,,RTV SLOVENIJA,ČRNA 1,,2019-08-06
27,Vzhod,892765,,,RTV SLOVENIJA,DRAVOGRAD,,2019-08-06
27,Vzhod,892766,,,RTV SLOVENIJA,LJUBNO,,2019-08-07
27,Vzhod,892767,,,RTV SLOVENIJA,LOVRENC,,2019-08-07
27,Vzhod,892768,,,RTV SLOVENIJA,MOZIRJE,,2019-08-07
27,Vzhod,892769,,,RTV SLOVENIJA,ROGAŠKA SLATINA,,2019-08-06
27,Vzhod,892840,,,RTV SLOVENIJA,MALIČ LAŠKO,,2019-08-07
,,892843,96.5,MHz,RADIO OGNJIŠČE d.o.o. Koper,RADLJE 1,"[{u'Program': u'RADIO OGNJI\u0160\u010cE', u'Timesharing': None}]",2020-12-22
,,892851,89,MHz,RTV SLOVENIJA,GOLNIK 1,"[{u'Program': u'RADIO SLOVENIA INTERNATIONAL /Radio Si/', u'Timesharing': None}]",2018-02-05
,,892861,105.1,MHz,RADIO CAPRIS d.o.o.,SLAVNIK,"[{u'Program': u'RADIO CAPRIS', u'Timesharing': None}]",2018-07-30
,,892861,106.3,MHz,RADIO CAPRIS d.o.o.,KARLOVICA,"[{u'Program': u'RADIO CAPRIS', u'Timesharing': None}]",2018-07-30
,,892874,102.4,MHz,RADIO OGNJIŠČE d.o.o. Koper,KARLOVICA,"[{u'Program': u'RADIO OGNJI\u0160\u010cE', u'Timesharing': None}]",2021-01-12
,,892880,89.8,MHz,RTV SLOVENIJA,IZOLA 5,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2015-08-22
,,892881,106.4,MHz,"R GAMA - MM d.o.o., Ljubljana",KRIM,"[{u'Program': u'Radio Ekspres', u'Timesharing': None}]",2018-02-16
,,892881,106.1,MHz,"R GAMA - MM d.o.o., Ljubljana",LJUBLJANA 6,"[{u'Program': u'Radio Ekspres', u'Timesharing': None}]",2018-02-16
27,Vzhod,892933,,,RTV SLOVENIJA,KOZJE,,2021-03-01
27,Vzhod,892934,,,RTV SLOVENIJA,LUČE 1,,2021-03-01
,,892937,94.9,MHz,"RGL, d.o.o, Ljubljana",LJUBLJANA 3,"[{u'Program': u'RADIO VESELJAK SI', u'Timesharing': None}]",2021-01-24
,,892946,558,kHz,RTV SLOVENIJA,MURSKA SOBOTA 1,"[{u'Program': u'Pomurski mad\u017earski radio - Muravid\xe9ki magyar r\xe1di\xf3', u'Timesharing': u'od 05:00 do 19:00'}, {u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': u'od 19:00 do 05:00'}]",2021-01-15
27,Vzhod,892971,,,RTV SLOVENIJA,ŠENTJUR,,2021-03-01
27,Zahod,892980,,,RTV SLOVENIJA,NANOS,,2019-08-19
27,Vzhod,892982,,,RTV SLOVENIJA,POHORJE,,2019-08-06
27,Vzhod,892983,,,RTV SLOVENIJA,PLEŠIVEC,,2019-08-06
27,Vzhod,892992,,,RTV SLOVENIJA,BOČ,,2019-08-06
27,Vzhod,892994,,,RTV SLOVENIJA,LENDAVA,,2019-08-06
27,Vzhod,892996,,,RTV SLOVENIJA,PEČAROVCI,,2019-08-07
27,Zahod,893017,,,RTV SLOVENIJA,SEŽANA,,2019-07-07
27,Zahod,893018,,,RTV SLOVENIJA,ILIRSKA BISTRICA,,2019-07-07
27,Zahod,893019,,,RTV SLOVENIJA,GOLO BRDO,,2019-07-07
27,Zahod,893020,,,RTV SLOVENIJA,ČEPOVAN LOKVE,,2019-07-07
27,Zahod,893021,,,RTV SLOVENIJA,ANHOVO,,2019-07-07
27,Zahod,893022,,,RTV SLOVENIJA,AJDOVŠČINA,,2019-08-06
27,Zahod,893024,,,RTV SLOVENIJA,CERKNO 1,,2019-08-06
27,Zahod,893025,,,RTV SLOVENIJA,IDRIJA 2,,2019-08-06
27,Zahod,893026,,,RTV SLOVENIJA,KOŠANA,,2019-08-06
27,Zahod,893027,,,RTV SLOVENIJA,SLAVNIK,,2019-08-10
27,Zahod,893028,,,RTV SLOVENIJA,SKALNICA,,2019-08-06
27,Zahod,893029,,,RTV SLOVENIJA,PLANINA RAKEK,,2019-08-07
27,Zahod,893030,,,RTV SLOVENIJA,MOVRAŽ,,2019-08-07
27,Zahod,893031,,,RTV SLOVENIJA,JAVORJE,,2019-10-01
27,Zahod,893032,,,RTV SLOVENIJA,TINJAN,,2019-08-06
27,Zahod,893033,,,RTV SLOVENIJA,VREME 1,,2019-10-28
27,Vzhod,893038,,,RTV SLOVENIJA,RUŠE,,2021-03-01
,,893048,89.3,MHz,RADIO CENTER d.o.o.,KRŠKO,"[{u'Program': u'Radio Center Dolenjska', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'RADIO CENTER', u'Timesharing': u'od 02:00 do 05:00'}]",2019-10-16
,,893049,89.1,MHz,"RC SAVINJSKA, d.o.o.",GORA OLJKA,"[{u'Program': u'RADIO CENTER SAVINJSKA', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'RADIO CENTER', u'Timesharing': u'od 02:00 do 05:00'}]",2016-07-06
,,893050,98.3,MHz,"RC SAVINJSKA, d.o.o.",MOZIRJE,"[{u'Program': u'RADIO CENTER SAVINJSKA', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'RADIO CENTER', u'Timesharing': u'od 02:00 do 05:00'}]",2018-03-13
,,893052,102.4,MHz,RADIO CENTER d.o.o.,GROSUPLJE 3,"[{u'Program': u'RADIO CENTER SLOVENIJA', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'RADIO CENTER', u'Timesharing': u'od 02:00 do 05:00'}]",2014-07-21
,,893052,102.4,MHz,RADIO CENTER d.o.o.,LJUBLJANA 3,"[{u'Program': u'RADIO CENTER SLOVENIJA', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'RADIO CENTER', u'Timesharing': u'od 02:00 do 05:00'}]",2014-07-21
45,Ilirska Bistrica,893053,,,Zavod TV Galeja Ilirska Bistrica,KARLOVICA,,2012-12-22
,,893054,88.7,MHz,RADIO CENTER d.o.o.,CELJE GOLOVEC,"[{u'Program': u'RADIO CENTER SLOVENIJA', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'RADIO CENTER', u'Timesharing': u'od 02:00 do 05:00'}]",2017-05-11
,,893055,106.4,MHz,RADIO CENTER d.o.o.,TINJAN,"[{u'Program': u'RADIO CENTER SLOVENIJA', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'RADIO CENTER', u'Timesharing': u'od 02:00 do 05:00'}]",2017-12-04
,,893055,93.8,MHz,RADIO CENTER d.o.o.,MARKOVEC,"[{u'Program': u'RADIO CENTER SLOVENIJA', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'RADIO CENTER', u'Timesharing': u'od 02:00 do 05:00'}]",2017-12-04
,,893057,99.4,MHz,RADIO CENTER d.o.o.,CEROVEC,"[{u'Program': u'RADIO CENTER SLOVENIJA', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'RADIO CENTER', u'Timesharing': u'od 02:00 do 05:00'}]",2018-08-04
27,Vzhod,893061,,,RTV SLOVENIJA,JURKLOŠTER,,2021-03-01
27,Vzhod,893062,,,RTV SLOVENIJA,KAPLA,,2021-03-01
27,Vzhod,893066,,,RTV SLOVENIJA,OŽBALT 2,,2021-03-01
27,Zahod,893073,,,RTV SLOVENIJA,SEČOVLJE,,2021-03-01
27,Vzhod,893076,,,RTV SLOVENIJA,SLADKI VRH,,2021-03-01
27,Vzhod,893080,,,RTV SLOVENIJA,VITANJE,,2021-03-01
27,Vzhod,893123,,,RTV SLOVENIJA,SOLČAVA,,2021-03-01
,,893148,106.2,MHz,RADIO CERKNO d.o.o.,CERKNO 2,"[{u'Program': u'RADIO ODMEV', u'Timesharing': u'od 16:00 do 20:00'}, {u'Program': u'Primorski val', u'Timesharing': u'od 00:00 do 16:00 in od 20:00 do 24:00'}]",2021-01-17
,,893149,99.5,MHz,RADIO CERKNO d.o.o.,IDRIJA 2,"[{u'Program': u'RADIO ODMEV', u'Timesharing': u'od 16:00 do 20:00'}, {u'Program': u'Primorski val', u'Timesharing': u'od 00:00 do 16:00 in od 20:00 do 24:00'}]",2021-01-17
,,893193,648,kHz,"RADIO MURSKI VAL, d.o.o.",MURSKA SOBOTA 1,"[{u'Program': u'RADIO MURSKI VAL', u'Timesharing': None}]",2021-01-15
52,med Ravnami na Koroškem in Celjem ,893235,,,"VTV Studio, d.o.o.",PLEŠIVEC,,2013-01-01
52,med Ravnami na Koroškem in Celjem ,893236,,,"VTV Studio, d.o.o.",MOZIRJE,,2013-01-01
52,med Ravnami na Koroškem in Celjem ,893237,,,"VTV Studio, d.o.o.",MALIČ LAŠKO,,2013-01-01
,,893275,101.6,MHz,"RGL, d.o.o, Ljubljana",LJUBLJANA 3,"[{u'Program': u'RADIO SALOMON', u'Timesharing': None}]",2021-02-21
,,893276,90.8,MHz,RTV SLOVENIJA,CERKNO 2,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2021-02-09
,,893277,90.8,MHz,RTV SLOVENIJA,KUK,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2021-02-09
,,893361,96.4,MHz,RADIO SLOVENSKE GORICE d.o.o.,LENART,"[{u'Program': u'RADIO SLOVENSKE GORICE', u'Timesharing': None}]",2021-02-16
,,893396,88.3,MHz,RADIO KOBARID d.o.o.,TOLMIN,"[{u'Program': u'Alpski val', u'Timesharing': u'od 16:00 do 20:00'}, {u'Program': u'Primorski val', u'Timesharing': u'od 00:00 do 16:00 in od 20:00 do 24:00'}]",2021-03-29
,,893432,91.8,MHz,RADIO OGNJIŠČE d.o.o. Koper,MURSKA SOBOTA 1,"[{u'Program': u'RADIO OGNJI\u0160\u010cE', u'Timesharing': None}]",2016-10-16
,,893436,90.3,MHz,RADIO PRO 1 d.o.o.,SEŽANA,"[{u'Program': u'Radio 1 Primorska; ENA NG', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2013-02-16
,,893436,101.7,MHz,RADIO PRO 1 d.o.o.,VIDEŽ,"[{u'Program': u'Radio 1 Primorska; ENA NG', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2013-02-16
,,893436,101.7,MHz,RADIO PRO 1 d.o.o.,SEŽANA 2,"[{u'Program': u'Radio 1 Primorska; ENA NG', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2013-02-16
,,893437,97.3,MHz,RADIO PRO 1 d.o.o.,HRVATINI 2,"[{u'Program': u'Radio 1 Primorska; ENA NG', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2013-12-17
,,893437,99.6,MHz,RADIO PRO 1 d.o.o.,KOPER 2,"[{u'Program': u'Radio 1 Primorska; ENA NG', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2013-12-17
,,893438,99.1,MHz,RADIO PRO 1 d.o.o.,TRSTELJ,"[{u'Program': u'Radio 1 Primorska; ENA NG', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2014-04-19
,,893438,90.6,MHz,RADIO PRO 1 d.o.o.,ŠEMPETER PRI GORICI,"[{u'Program': u'Radio 1 Primorska; ENA NG', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2014-04-19
,,893438,90.1,MHz,RADIO PRO 1 d.o.o.,NOVA GORICA 1,"[{u'Program': u'Radio 1 Primorska; ENA NG', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2014-04-19
,,893441,89.5,MHz,RADIO PRO 1 d.o.o.,ČRNOMELJ,"[{u'Program': u'Radio Odeon', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2019-10-16
,,893442,97.7,MHz,"RADIO 1 CE, d.o.o.",CELJE GOLOVEC,"[{u'Program': u'Radio Bakla', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2021-03-29
32,Center,893461,,,RTV SLOVENIJA,BLED 2,,2021-03-01
32,Center,893464,,,RTV SLOVENIJA,LIMBARSKA GORA,,2021-03-01
32,Center,893466,,,RTV SLOVENIJA,LUBNIK,,2021-03-01
32,Center,893468,,,RTV SLOVENIJA,ROB,,2021-03-01
32,Center,893469,,,RTV SLOVENIJA,ROVT,,2021-03-01
32,Center,893470,,,RTV SLOVENIJA,STRUŠKA DOLINA,,2021-03-01
32,Center,893471,,,RTV SLOVENIJA,RADEČE 2,,2021-03-01
32,Center,893472,,,RTV SLOVENIJA,STARI TRG,,2021-03-01
32,Center,893476,,,RTV SLOVENIJA,KRIM,,2019-08-05
32,Center,893477,,,RTV SLOVENIJA,KRVAVEC,,2019-08-05
32,Center,893478,,,RTV SLOVENIJA,TRDINOV VRH,,2019-10-09
32,Center,893479,,,RTV SLOVENIJA,KUM,,2019-08-06
,,893502,100,MHz,RADIO ROBIN d.o.o.,TRSTELJ,"[{u'Program': u'RADIO ROBIN', u'Timesharing': None}]",2013-03-10
,,893502,99.5,MHz,RADIO ROBIN d.o.o.,NOVA GORICA 1,"[{u'Program': u'RADIO ROBIN', u'Timesharing': None}]",2013-03-10
,,893509,88.9,MHz,ZAVOD ZA INFORMIRANJE ORMOŽ,ORMOŽ,"[{u'Program': u'RADIO PRLEK', u'Timesharing': None}]",2021-04-22
,,893548,100.2,MHz,RADIO 94 d.o.o. Postojna,ILIRSKA BISTRICA,"[{u'Program': u'R94', u'Timesharing': u'od 00:00 do 06:00'}, {u'Program': u'Radio 94', u'Timesharing': u'od 06:00 do 24:00'}]",2021-05-29
,,893548,104.1,MHz,RADIO 94 d.o.o. Postojna,ILIRSKA BISTRICA 3,"[{u'Program': u'R94', u'Timesharing': u'od 00:00 do 06:00'}, {u'Program': u'Radio 94', u'Timesharing': u'od 06:00 do 24:00'}]",2021-05-29
,,893584,101.1,MHz,"RADIO TRIGLAV JESENICE, D.O.O.",VOGEL,"[{u'Program': u'RADIO TRIGLAV', u'Timesharing': None}]",2021-06-12
,,893605,97.2,MHz,RADIO CERKNO d.o.o.,IDRIJA 1,"[{u'Program': u'RADIO ODMEV', u'Timesharing': u'od 16:00 do 20:00'}, {u'Program': u'Primorski val', u'Timesharing': u'od 00:00 do 16:00 in od 20:00 do 24:00'}]",2021-05-29
